Username,Text,Hashtags,Followers,Friends
kk131066,"2

True luxury isn't about huge mansions, private jets, or exclusive brands

It is about what money cannot buy

Wit… https://t.co/oJrELUvsup",,25954,24778
geotransversals, We've had more than one Blak death a fortnight at the hands of the police and prison system in this colony since the first #BL…,,3325,271
mistigron,"4000 tweets 😮😃😛🤣
#BreakingNews #URGENT #événement #BalanceTonProf #Trump #boobs #Castex #coronavirus #trololo… https://t.co/ppvRolrpOC","['BreakingNews', 'URGENT', 'événement', 'BalanceTonProf', 'Trump', 'boobs', 'Castex', 'coronavirus', 'trololo']",89,129
iQ4U8," Holy crap these cowards are unhinged. #BLM ATTACKED us, screaming “RACIST” in our faces, shoving our women &amp; children. 

I W…",['BLM'],307,374
alicias94590, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",2158,2270
cryptan,This is going to happen.,,465,718
jollibeauty," - Breonna Taylor 
- Elijah McClain 
- Ahmaud Arbery 
- Trayvon Martin 
- George Floyd 
- Philando Castile
- Tamir Rice…",,1644,968
autodog5150, The true the whole truth and nothing but the truth. Except for the fact that BLM has nothing to do with lifting black…,,2411,2768
Supreme_Bashar,"RT @Supreme_Bashar: INTENDED CONSEQUENCES 

#BlackLivesMatter #Obama #PoliceAssasinations #Biden  https://t.co/Dg6Hh6HYes","['BlackLivesMatter', 'Obama', 'PoliceAssasinations', 'Biden']",7530,6183
appcsocialmedia,"#CoronaVirusUpdates 🇵🇰

526 new coronavirus cases have surfaced in the country over the last 24 hours

#APPNews… https://t.co/HqDDANxHO5","['CoronaVirusUpdates', 'APPNews']",50067,430
blaze0497," After Shutting Down His Campaign For the Day, Joe #Biden Lashes Out at President #Trump For Holding #Rallies in #Nevada T…","['Biden', 'Trump', 'Rallies', 'Nevada']",37711,27130
JamesPier1, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",370,1496
dgaurav7, This show the sheer ignorance of policy makers and their advisors. This proposition is fallacious on so many levels inc…,,218,296
what_now_2020,"@realDonaldTrump Start visualizing 200,000 of these #COVID",['COVID'],51,152
CagmanArthur, @realDonaldTrump You're such a malignant narcissistic horses as$. You're below dirt. You are the VERY #WORSTPRESIDENT t…,['WORSTPRESIDENT'],1072,2356
Joel60804207,"Joe Biden Cannot Lead America!
#BidenLies 
#TrumpVirusDeathToll193K #Biden #TrumpLiedPeopleDied #TrumpTapes… https://t.co/xU42twC4m7","['BidenLies', 'TrumpVirusDeathToll193K', 'Biden', 'TrumpLiedPeopleDied', 'TrumpTapes']",3,3
GRINNGAB, @realDonaldTrump You seem extra triggered tonight. Was it the small Nevada crowd? Did you not get enough love? Did one of y…,,17,173
blaze0497," 🔥In Charlotte, BLM chants, “F your Jesus”

🔥I thought #BLM was about black lives!?

🔥When will people wake up and realize that…",['BLM'],37711,27130
Elvr__,"RT @Blklivesmatter: We salute you fam! ✊🏾✊🏾✊🏾

@naomiosaka thank you for reminding the world that #BlackLivesMatter https://t.co/iaDFaX6frM",['BlackLivesMatter'],622,573
